Center of the cluster (IPC code),Field of Knowledge,Member of the cluster (IPC code),Name of the IPC code,,,,,,,
B65H,"Handling Thing or Filamentary Material, Warping, Bookbinding",B42B,"Permanently attaching together sheets, quires, or signatures, or permanently attaching objects
thereto",,,,,,,
,,B42C,Bookbinding ,,,,,,,
,,B65H,"Handling thin or filamentary material, e.g. sheets,
webs, cables",,,,,,,
,,D01H,Spinning or twisting,,,,,,,
,,D02H,"Warping, beaming, or leasing ",,,,,,,
,,D06H,"Marking, inspecting, seaming, or severing textile
materials ",,,,,,,
B66C,"Cranes, Capstans, Whinches, and other Hoisting, Lifting or Hauling Devices",B66C,"Cranes; Load-engaging elements or devices for
cranes, capstans, winches, or tackles",,,,,,,
,,B66D,"Capstans; Winches; Tackles, e.g. pulley blocks;
Hoists",,,,,,,
,,B66F,"Hoisting, lifting, hauling, or pushing, not
otherwise provided for, e.g. devices which apply a
lifting or pushing force directly to the surface of a load",,,,,,,
B68B,Harness,B68B,"Harness; Devices used in connection therewith;
Whips or the like",,,,,,,
B68C,Saddles and Stirrups,B68C,Saddles; Stirrups,,,,,,,
B81B,Microstructural Technology,B81B,"Microstructural devices or systems, e.g.
micromechanical devices.",,,,,,,
,,B81C,"Processes or apparatus specially adapted for the manufacture or treatment of microstructural
devices or systems",,,,,,,
C01B,Production of inorganic chemical compounds,B01B,"Boiling, Boiling apparatus",,,,,,,
,,C01B,Non-metallic elements; Compounds thereof ,,,,,,,
,,C01C,Ammonia; Cyanogen; Compounds thereof ,,,,,,,
,,C01D,"Compounds of alkali metals, i.e. lithium, sodium, potassium, rubidium, caesium, or francium ",,,,,,,
,,C01F,"Compounds of the metals beryllium, magnesium, aluminium, calcium, strontium, barium, radium, thorium, or of the rare-earth metals ",,,,,,,
,,C01G,"Cracking hydrocarbon oils; Production of liquid hydrocarbon mixtures, e.g. by destructive hydrogenation, oligomerisation, polymerisation; Recovery of hydrocarbon oils from oil-shale, oil-sand, or gases; Refining mixtures mainly consisting of hydrocarbons; Reforming of naphtha; Mineral waxes ",,,,,,,
,,C10J,"Production of producer gas, water-gas, synthesis gas from solid carbonaceous material, or mixtures containing these gases; Carburetting air or other gases",,,,,,,
,,C25B,Electrolytic or electrophoretic processes for the production of compounds or non- metals; Apparatus therefor,,,,,,,
